geo_shape;osm_id;couvert;capacite;nom;acces;payant;surveille;type;notes;Lat;Lon
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2338932, 48.83963939973209]]}";n1677008952;NON;0;;public;NON;NON;inconnu;;48.8396393997;2.2338932
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3745155, 48.845882799730546]]}";n2267747934;NON;10;;public;NON;NON;arceaux;;48.8458827997;2.3745155
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3598636, 48.872181899724005]]}";n3526364693;NON;8;;public;NON;NON;arceaux;;48.8721818997;2.3598636
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2959917, 48.83272399973381]]}";n7578076977;NON;2;;public;NON;NON;arceaux;;48.8327239997;2.2959917
"{""type"": ""MultiPoint"", ""coordinates"": [[2.1967007, 48.99262219969414]]}";n7478467050;NON;5;;public;NON;NON;inconnu;;48.9926221997;2.1967007
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3170126, 48.85600559972802]]}";n5462780578;NON;8;;public;NON;NON;arceaux;;48.8560055997;2.3170126
"{""type"": ""MultiPoint"", ""coordinates"": [[2.405384, 48.85734819972767]]}";n6875276223;NON;8;;public;NON;NON;arceaux;;48.8573481997;2.405384
"{""type"": ""MultiPoint"", ""coordinates"": [[2.4905567, 48.85437359972844]]}";n3870517887;OUI;20;;public;NON;NON;arceaux;;48.8543735997;2.4905567
"{""type"": ""MultiPoint"", ""coordinates"": [[2.1474406, 48.71995129976177]]}";n5914220342;OUI;4;;privee;NON;NON;ratelier;;48.7199512998;2.1474406
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2410442, 48.89149329971922]]}";n5263971100;NON;6;;public;NON;NON;arceaux;;48.8914932997;2.2410442
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3809066, 48.8310349997342]]}";n7537095834;NON;6;;public;NON;NON;arceaux;;48.8310349997;2.3809066
"{""type"": ""MultiPoint"", ""coordinates"": [[2.4010962, 48.87989219972209]]}";n2629096055;NON;18;;public;NON;NON;arceaux;;48.8798921997;2.4010962
"{""type"": ""MultiPoint"", ""coordinates"": [[2.377632, 48.8295209997346]]}";n5691509175;NON;4;;public;NON;NON;arceaux;;48.8295209997;2.377632
"{""type"": ""MultiPoint"", ""coordinates"": [[2.4081945, 48.864160599726]]}";n5630745366;NON;14;;public;NON;NON;inconnu;;48.8641605997;2.4081945
"{""type"": ""MultiPoint"", ""coordinates"": [[2.336423, 48.84266119973133]]}";n5688884346;NON;10;;public;NON;NON;arceaux;;48.8426611997;2.336423
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2837615, 48.83687349973279]]}";n7128566442;NON;8;;public;NON;NON;arceaux;;48.8368734997;2.2837615
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3591059, 48.819903499736995]]}";n7513686598;NON;6;;public;NON;NON;arceaux;;48.8199034997;2.3591059
"{""type"": ""MultiPoint"", ""coordinates"": [[2.398828, 48.88021659972202]]}";n3679615753;NON;6;;public;NON;NON;arceaux;;48.8802165997;2.398828
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2685318, 48.724884099760544]]}";n6268288442;NON;8;;public;NON;NON;arceaux;;48.7248840998;2.2685318
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2548285, 48.92219439971161]]}";n5229096562;NON;6;;public;NON;NON;arceaux;;48.9221943997;2.2548285
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2636496, 48.719365399761905]]}";n5152198099;NON;8;;public;NON;NON;arceaux;;48.7193653998;2.2636496
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3733981, 48.864026799726034]]}";n4760644685;NON;8;;public;NON;NON;arceaux;;48.8640267997;2.3733981
"{""type"": ""MultiPoint"", ""coordinates"": [[2.1850803, 48.919905799712176]]}";n4162195338;OUI;52;Véligo;clientele;NON;NON;arceaux;;48.9199057997;2.1850803
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2996875, 48.83448819973336]]}";n7578076967;NON;16;;public;NON;NON;arceaux;;48.8344881997;2.2996875
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2969835, 48.85881149972734]]}";n5601785589;NON;10;;public;NON;NON;arceaux;;48.8588114997;2.2969835
"{""type"": ""MultiPoint"", ""coordinates"": [[2.0702777, 48.89508389971834]]}";n2811568140;OUI;0;;public;NON;NON;inconnu;;48.8950838997;2.0702777
